"province","raw_locality","school_count","sample_emis","normalized_suggestion","reviewer_decision"
"EC","HILLCREST","2","200200007","Hillcrest","Hillcrest"
"EC","BUFFALO FLATS EXT 2-7","2","200200009","Buffalo Flats Ext 2 7","Buffalo Flats Ext 2 7"
"EC","NKOPANE VILLAGE","2","200600583","Nkopane","Nkopane"
"EC","ZINGQUTU A/A","2","200600581","Zingqutu A/A","Zingqutu A/A"
"EC","HERSCHEL","2","200600559","Herschel","Herschel"
"EC","MTWAKAZI VILLAGE","2","200600529","Mtwakazi","Mtwakazi"
"EC","DAWN","2","200200021","Dawn","Dawn"
"EC","MIDDELBURG CAPE","2","200600483","Middelburg Cape","Middelburg Cape"
"EC","CRADOCK 5880","2","200600481","Cradock 5880","Cradock 5880"
"EC","BALFOUR","2","200200030","Balfour","Balfour"
"EC","MBONISWENI VILLAGE","2","200600466","Mbonisweni","Mbonisweni"
"EC","BEACONBAY","2","200200035","Beaconbay","Beaconbay"
"EC","MACACUMA VILLAGE","2","200600461","Macacuma","Macacuma"
"EC","MANXEBA VILLAGE","2","200600430","Manxeba","Manxeba"
"EC","MOKHESI VILLAGE","2","200600422","Mokhesi","Mokhesi"
"EC","HELENVALE","2","200100050","Helenvale","Helenvale"
"EC","LOWER DIDIMANA","2","200600382","Lower Didimana","Lower Didimana"
"EC","UNIT 1","2","200600379","Unit 1","Unit 1"
"EC","ILINGE TOWNSHIP","2","200600375","Ilinge Township","Ilinge Township"
"EC","LESSEYTON VILLAGE","2","200600370","Lesseyton","Lesseyton"
"EC","VENTERSTAD","2","200600330","Venterstad","Venterstad"
"EC","NOMONDE","2","200600307","Nomonde","Nomonde"
"EC","NEWTOWN","2","200100051","Newtown","Newtown"
"EC","TOPTOWN","2","200600267","Toptown","Toptown"
"EC","WHO CAN TELL LOCATION","2","200600230","Who Can Tell Location","Who Can Tell Location"
"EC","CUMAKALA A/A","2","200600211","Cumakala A/A","Cumakala A/A"
"EC","MAVUYA TOWNSHIP","2","200600184","Mavuya Township","Mavuya Township"
"EC","ZWIDE LOCATION","2","200600182","Zwide Location","Zwide Location"
"EC","MIDDELBURG EC","2","200600162","Middelburg Ec","Middelburg Ec"
"EC","NU 1","2","200200067","Nu 1","Nu 1"
"EC","BURNSHILL LOCATION","2","200200069","Burnshill Location","Burnshill Location"
"EC","BLUEWATER BAY","2","200100071","Bluewater Bay","Bluewater Bay"
"EC","BLUE GUMS VILLAGE","2","200600152","Blue Gums","Blue Gums"
"EC","CINTSA EAST","2","200200072","Cintsa East","Cintsa East"
"EC","MOSES MABIDA LOCATION","2","200100076","Moses Mabida Location","Moses Mabida Location"
"EC","CHISELHURST","2","200200075","Chiselhurst","Chiselhurst"
"EC","CAMBRIDGE","2","200200076","Cambridge","Cambridge"
"EC","SINAKO","2","200600102","Sinako","Sinako"
"EC","BOOYSENS PARK","2","200100079","Booysens Park","Booysens Park"
"EC","BURGERSDORP","2","200600078","Burgersdorp","Burgersdorp"
"EC","UPPER VAALBANK","2","200600074","Upper Vaalbank","Upper Vaalbank"
"EC","VAALBANK","2","200600062","Vaalbank","Vaalbank"
"EC","WESTERING","2","200100846","Westering","Westering"
"EC","EKUPUMLENI","2","200600057","Ekupumleni","Ekupumleni"
"EC","NGQANDA A/A","2","200600055","Ngqanda A/A","Ngqanda A/A"
"EC","TAMBO VILLAGE","2","200600054","Tambo","Tambo"
"EC","BENSONVALE VILLAGE","2","200600041","Bensonvale","Bensonvale"
"EC","MOUNTAIN VIEW","2","200100101","Mountain View","Mountain View"
"EC","MGWALI VILLAGE","2","200200097","Mgwali","Mgwali"
"EC","CACADU A/A","2","200600023","Cacadu A/A","Cacadu A/A"
"EC","STEYTLERVILLE","2","200100105","Steytlerville","Steytlerville"
"EC","HILTON","2","200600011","Hilton","Hilton"
"EC","CHARLO","2","200100113","Charlo","Charlo"
"EC","MCBRIDGE","2","200600002","Mcbridge","Mcbridge"
"EC","SIDAKENI A/A","2","200501074","Sidakeni A/A","Sidakeni A/A"
"EC","RAMAFOLE","2","200501058","Ramafole","Ramafole"
"EC","XURANA A/A","2","200501044","Xurana A/A","Xurana A/A"
"EC","DIKIDIKANA LOCATION","2","200200119","Dikidikana Location","Dikidikana Location"
"EC","MOUNT FLETCHER","2","200501032","Mount Fletcher","Mount Fletcher"
"EC","QHOBOSHEANENG A/A","2","200501021","Qhobosheaneng A/A","Qhobosheaneng A/A"
"EC","SEQHOBONG A/A","2","200500970","Seqhobong A/A","Seqhobong A/A"
"EC","ZALU HEIGHTS A/A","2","200500801","Zalu Heights A/A","Zalu Heights A/A"
"EC","MGUBO A/A","2","200500748","Mgubo A/A","Mgubo A/A"
"EC","KOKSTAD","2","200500694","Kokstad","Kokstad"
"EC","PEPENI","2","200500685","Pepeni","Pepeni"
"EC","MARIAZEL MISSION","2","200500582","Mariazel Mission","Mariazel Mission"
"EC","LINKSIDE","2","200100133","Linkside","Linkside"
"EC","BRAELYN","2","200200139","Braelyn","Braelyn"
"EC","GOMPO","2","200200141","Gompo","Gompo"
"EC","NDEVANA","2","200200146","Ndevana","Ndevana"
"EC","KLEIN JONAS A/A","2","200500574","Klein Jonas A/A","Klein Jonas A/A"
"EC","MSOBOMVU VILLAGE","2","200200150","Msobomvu","Msobomvu"
"EC","KING FLATS","2","200100144","King Flats","King Flats"
"EC","MABHELENI LOCATION","2","200100148","Mabheleni Location","Mabheleni Location"
"EC","BOTHASRUS","2","200100162","Bothasrus","Bothasrus"
"EC","TSOLOBENG","2","200500525","Tsolobeng","Tsolobeng"
"EC","RABULA LOCATION","2","200200158","Rabula Location","Rabula Location"
"EC","LOWER NTAFUFU","2","200500515","Lower Ntafufu","Lower Ntafufu"
"EC","NKOSANA A/A","2","200500509","Nkosana A/A","Nkosana A/A"
"EC","MOUNT PLEASANT","2","200100197","Mount Pleasant","Mount Pleasant"
"EC","MOSHESH A/A","2","200500405","Moshesh A/A","Moshesh A/A"
"EC","GOXE A/A","2","200500393","Goxe A/A","Goxe A/A"
"EC","MONTI","2","200500360","Monti","Monti"
"EC","FENI LOCATION","2","200200174","Feni Location","Feni Location"
"EC","KETEKETE A/A","2","200500350","Ketekete A/A","Ketekete A/A"
"EC","XURA A/A","2","200500341","Xura A/A","Xura A/A"
"EC","KHAMBASHE","2","200200178","Khambashe","Khambashe"
"EC","PALMERTON","2","200500294","Palmerton","Palmerton"
"EC","EMANTLANENI A/A","2","200500291","Emantlaneni A/A","Emantlaneni A/A"
"EC","UPPER TSITSANA","2","200500290","Upper Tsitsana","Upper Tsitsana"
"EC","GREENFIELDS","2","200200184","Greenfields","Greenfields"
"EC","GOSO FOREST A/A","2","200500284","Goso Forest A/A","Goso Forest A/A"
"EC","KWANONZWAKAZI","2","200100247","Kwanonzwakazi","Kwanonzwakazi"
"EC","NYOSANA A/A","2","200500277","Nyosana A/A","Nyosana A/A"
"EC","ZALU A/A","2","200500256","Zalu A/A","Zalu A/A"
"EC","LOWER HLABATHI","2","200500251","Lower Hlabathi","Lower Hlabathi"
"EC","DLIBONASIPHAQENI AA","2","200500233","Dlibonasiphaqeni Aa","Dlibonasiphaqeni Aa"
"EC","WINDVOGEL","2","200100308","Windvogel","Windvogel"
"EC","GQUBENI A/A","2","200500179","Gqubeni A/A","Gqubeni A/A"
"EC","JANSENVILLE","2","200100314","Jansenville","Jansenville"
"EC","TSWELENI A/A","2","200500161","Tsweleni A/A","Tsweleni A/A"
"EC","LANGA LOCATION","2","200100348","Langa Location","Langa Location"
"EC","MFUNDISWENI A/A","2","200500088","Mfundisweni A/A","Mfundisweni A/A"
"EC","MWACA A/A","2","200500087","Mwaca A/A","Mwaca A/A"
"EC","MATOLWENI LOCATION","2","200200218","Matolweni Location","Matolweni Location"
"EC","NDEVANA LOCATION","2","200200224","Ndevana Location","Ndevana Location"
"EC","GERALD SMITH","2","200100363","Gerald Smith","Gerald Smith"
"EC","HAMBURG VILLAGE","2","200200235","Hamburg","Hamburg"
"EC","TO BE UPDATED","2","200404039","To Be Updated","To Be Updated"
"EC","SONWABILE TOWNSHIP","2","200401317","Sonwabile Township","Sonwabile Township"
"EC","SUNRIDGE PARK","2","200100757","Sunridge Park","Sunridge Park"
"EC","VULINDLELA HEIGHTS","2","200401079","Vulindlela Heights","Vulindlela Heights"
"EC","TSOLO VILLAGE","2","200401071","Tsolo","Tsolo"
"EC","UPPER GQOBONCO","2","200401009","Upper Gqobonco","Upper Gqobonco"
"EC","MISTY MOUNT A/A","2","200400780","Misty Mount A/A","Misty Mount A/A"
"EC","NKWENKWANA","2","200400661","Nkwenkwana","Nkwenkwana"
"EC","YONDA VILLAGE","2","200600932","Yonda","Yonda"
"EC","MKANKATO A/A","2","200400608","Mkankato A/A","Mkankato A/A"
"EC","MHLANGA A/A","2","200400579","Mhlanga A/A","Mhlanga A/A"
"EC","NDANYA A/A","2","200400553","Ndanya A/A","Ndanya A/A"
"EC","MADOTYENI","2","200400439","Madotyeni","Madotyeni"
"EC","MASAMENI A/A","2","200400422","Masameni A/A","Masameni A/A"
"EC","DIMBAZA WEST","2","200200268","Dimbaza West","Dimbaza West"
"EC","LOWER MNYOLO","2","200400382","Lower Mnyolo","Lower Mnyolo"
"EC","LUQOLWENI LOCATION","2","200400318","Luqolweni Location","Luqolweni Location"
"EC","LOERIE","2","200100460","Loerie","Loerie"
"EC","MNYOLO","2","200400281","Mnyolo","Mnyolo"
"EC","NTSELAMANZI LOCATION","2","200200283","Ntselamanzi Location","Ntselamanzi Location"
"EC","UPPER GQAGA","2","200400269","Upper Gqaga","Upper Gqaga"
"EC","LORRAINE","2","200100463","Lorraine","Lorraine"
"EC","FAIRBRIDGE HEIGHTS","2","200100750","Fairbridge Heights","Fairbridge Heights"
"EC","EGOSO","2","200400260","Egoso","Egoso"
"EC","TYUTYU VILLAGE","2","200200291","Tyutyu","Tyutyu"
"EC","ZANDUKWANA A/A","2","200400244","Zandukwana A/A","Zandukwana A/A"
"EC","ZINDUNENI A/A","2","200400165","Zinduneni A/A","Zinduneni A/A"
"EC","ELUHEWINI","2","200400154","Eluhewini","Eluhewini"
"EC","ELUCWECWE","2","200400152","Elucwecwe","Elucwecwe"
"EC","ZINKUMBINI A/A","2","200400131","Zinkumbini A/A","Zinkumbini A/A"
"EC","CORANA A/A","2","200400129","Corana A/A","Corana A/A"
"EC","KWANOMZAMO","2","200100473","Kwanomzamo","Kwanomzamo"
"EC","KEI ROAD","2","200200308","Kei Road","Kei Road"
"EC","TSHOXA LOCATION","2","200200311","Tshoxa Location","Tshoxa Location"
